sep=;
"pers_id";"id_nl_pdc_num";"id_nl_pdc_code";"id_nl_pdc_bio_id";"id_nl_pdc_slug";"last_name";"first_name";"death_date"
"NL_Eski_Nihat_1963";2386;;20831;"drs-n-nihat-eski";"Eski";"Nihat";
"NL_Eurlings_Camiel_1973";2216;;19041;"ir-cmps-camiel-eurlings";"Eurlings";"Camiel";
"NL_Evenhuis_Hanske_1921";1890;;18780;"ch-hanske-evenhuis-van-essen";"Evenhuis-vanEssen";"Hanske";
"NL_Faber_Marjolein_1960";3298;"vinxl2kg0azw";22000;"mhm-marjolein-faber-van-de-klashorst";"Faber-vandeKlashorst";"Marjolein";
"NL_Faber_Sytze_1937";1892;;18782;"dr-s-sytze-faber";"Faber";"Sytze";
"NL_Feenstra_Jaap_1954";2860;;19458;"jj-jaap-jelle-feenstra";"Feenstra";"Jaap-Jelle";
"NL_Fermina_Hubert_1948";2515;;19137;"hg-hubert-fermina";"Fermina";"Hubert";
"NL_Ferrier_Kathleen_1957";2310;;20874;"drs-kg-kathleen-ferrier";"Ferrier";"Kathleen";
"NL_Fierens_Thea_1950";2459;;21007;"tho-thea-fierens";"Fierens";"Thea";
"NL_Fokke_Manon_1976";3378;"vj2tbh04gduo";22246;"mr-h-manon-fokke";"Fokke";"Manon";
"NL_Franssen_Jan_1951";2752;;19350;"j-jan-franssen";"Franssen";"Jan";
"NL_Frinking_Ton_1931";1947;;18837;"abm-ton-frinking";"Frinking";"Ton";
"NL_Frissen_Leon_1950";2795;;19393;"ljpm-leon-frissen";"Frissen";"Leon";
"NL_Fritsma_Sietse_1972";3131;"vhfz2w3qq4vw";21444;"drs-sr-sietse-fritsma";"Fritsma";"Sietse";
"NL_Futselaar_Frank_1979";3479;"vk72l3x3tee4";22618;"drs-fw-frank-futselaar";"Futselaar";"Frank";
"NL_Gabor_Dzsingisz_1940";2883;;19481;"drs-jd-dzsingisz-gabor";"Gabor";"Dzsingisz";
"NL_Gardeniers_Til_1925";1668;;18558;"mhmf-til-gardeniers-berendsen";"Gardeniers-Berendsen";"Til";
"NL_Geluk_Jan_1950";2217;;19042;"ing-jm-jan-geluk";"Geluk";"Jan";
"NL_Geluk_Lenny_1943";3487;"vk7vin3enpq8";22632;"lwd-lenny-geluk-poortvliet";"Geluk-Poortvliet";"Lenny";
"NL_Gerbrands_Karen_1967";3216;"vier1aaq53zk";21905;"k-karen-gerbrands";"Gerbrands";"Karen";
"NL_Gerkens_Arda_1965";2326;;20892;"amv-arda-gerkens";"Gerkens";"Arda";
"NL_Geselschap_Jock_1969";3527;"vk9kbitjzjv0";22780;"mrdrs-jh-jock-geselschap";"Geselschap";"Jock";
"NL_Gesthuizen_Sharon_1976";3103;;21394;"smjg-sharon-gesthuizen";"Gesthuizen";"Sharon";
"NL_Geurts_Jaco_1970";3322;"vj0ac54vgsln";22170;"jl-jaco-geurts";"Geurts";"Jaco";
"NL_Gillard_Chantal_1970";3077;;21364;"ing-chdm-chantal-gillard";"Gillard";"Chantal";
"NL_Giskes_Francine_1951";2516;;19138;"drs-fch-francine-giskes";"Giskes";"Francine";
