"pers_id";"id_nl_pdc_num";"id_nl_pdc_code";"id_nl_pdc_bio_id";"id_nl_pdc_slug";"last_name";"first_name";"wikidata_id"
"NL_vanLeeuwen_Hannie_1926";795;;17685;"j-hannie-van-leeuwen";"vanLeeuwen";"Hannie";""
"NL_vanLeeuwen_Hans_1952";3105;;21411;"h-hans-van-leeuwen";"vanLeeuwen";"Hans";""
"NL_vanLeeuwen_Herman_1890";794;;17684;"mr-hf-van-leeuwen";"vanLeeuwen";"Herman-Francois";""
"NL_vanLeeuwen_Jan_1868";796;;17686;"dr-j-jan-van-leeuwen";"vanLeeuwen";"Jan";""
"NL_vanLeijenhorst_Gerard_1928";1700;;18590;"drs-g-gerard-van-leijenhorst";"vanLeijenhorst";"Gerard";""
"NL_vanLennep_Jacob_1802";807;;17697;"mr-j-van-lennep";"vanLennep";"Jacob";""
"NL_vanLente_Marijke_1954";2514;;19136;"mj-marijke-van-lente";"vanLente";"Marijke";""
"NL_vanLidth_Otto_1881";813;;17703;"jhrir-oca-otto-van-lidth-de-jeude";"vanLidth-deJeude";"Otto";""
"NL_vanLidth_Willem_1815";814;;17704;"mr-wfc-van-lidth-de-jeude";"vanLidth-deJeude";"Willem-Frederik-Carel";""
"NL_vanLienden_Kees_1897";817;;17707;"cj-kees-van-lienden";"vanLienden";"Kees";""
"NL_vanLier_Theo_1916";819;;17709;"mr-thjam-theo-van-lier";"vanLier";"Theo";""
"NL_vanLimburg_Petrus_1829";823;;17713;"mr-pas-van-limburg-brouwer";"vanLimburg-Brouwer";"Petrus-Abraham-Samuel";""
"NL_vanLith_Erik_1972";2318;;20880;"mthjm-erik-van-lith";"vanLith";"Erik";""
"NL_vanLoeben_Alexander_1847";832;;17722;"adpv-van-loben-sels";"vanLoeben-Sels";"Alexander-Dirk-Peter-Valentijn";""
"NL_vanLoeben_Constant_1846";833;;17723;"cme-van-loben-sels";"vanLoeben-Sels";"Constant-Maurits-Ernst";""
"NL_vanLoghem_Hendrik_1808";838;;17728;"mr-h-van-loghem";"vanLoghem";"Hendrik";""
"NL_vanLoon_Jan_1816";841;;17731;"jhrmr-jw-van-loon";"vanLoon";"Jan-Willem";""
"NL_vanLoon_W_1794";2915;;19513;"jhr-w-van-loon";"vanLoon";"W";""
"NL_vanMaarseveen_Johannes_1894";859;;17749;"mr-jh-van-maarseveen";"vanMaarseveen";"Johannes-Hendrikus";""
"NL_vanMastrigt_Cor_1909";884;;17774;"cj-cor-van-mastrigt";"vanMastrigt";"Cor";""
"NL_vanMeel_Cees_1903";887;;17777;"dr-cj-kees-van-meel";"vanMeel";"Cees";""
"NL_vanMiddelkoop_Eimert_1949";2973;;19571;"e-eimert-van-middelkoop";"vanMiddelkoop";"Eimert";""
"NL_vanMiddelkoop_Ruud_1945";2888;;19486;"rm-ruud-van-middelkoop";"vanMiddelkoop";"Ruud";""
"NL_vanMierlo_Adriaan_1942";1914;;18804;"ing-aag-adriaan-van-mierlo";"vanMierlo";"Adriaan";""
"NL_vanMierlo_Hans_1931";928;;17818;"mr-hafmo-hans-van-mierlo";"vanMierlo";"Hans";""
"NL_vanMuiden_Gerard_1931";1901;;18791;"mr-g-gerard-van-muiden";"vanMuiden";"Gerard";""
"NL_vanMulken_Joannes_1796";947;;17837;"jj-van-mulken";"vanMulken";"Joannes-Josephus";""
"NL_vanNaamen_Albertus_1828";954;;17844;"mr-van-naamen-van-eemnes";"vanNaamen-vanEemnes";"Albertus";""
"NL_vanNaamen_Johannes_1801";955;;17845;"mr-js-van-naamen";"vanNaamen";"Johannes-Sebastiaan";""
"NL_vanNierop_Asser_1813";963;;17853;"mr-asser-van-nierop";"vanNierop";"Asser";""
"NL_vanNierop_Kees_1910";964;;17854;"c-kees-van-nierop";"vanNierop";"Kees";""
"NL_vanNieuwenhoven_Jeltje_1943";2712;;19310;"j-jeltje-van-nieuwenhoven";"vanNieuwenhoven";"Jeltje";""
"NL_vanNispen_Carel_1824";973;;17863;"jhrmr-cjchh-carel-van-nispen-tot-sevenaer";"vanNispen-tot-Sevenaer";"Carel";""
"NL_vanNispen_Joannes_1803";974;;17864;"jhr-jacha-van-nispen-van-sevenaer";"vanNispen-vanSevenaer";"Joannes-Antonius-Christianus-Arnoldus";""
"NL_vanNispen_Joseph_1861";975;;17865;"jhr-jwjcm-van-nispen-tot-sevenaer";"vanNispen-tot-Sevenaer";"Joseph-Willem-Jan-Carel-Marie";""
"NL_vanNispen_Octaaf_1867";977;;17867;"jhrmr-ofam-octaaf-van-nispen-tot-sevenaer";"vanNispen-tot-Sevenaer";"Octaaf";""
"NL_vanNispen_Raphael_1835";978;;17868;"jhr-rajbm-van-nispen-van-sevenaer";"vanNispen-vanSevenaer";"Raphael-Alexander-Johannes-Boudewinus-Maria";""
"NL_vanNoord_Jan_1930";2672;;19270;"j-jan-van-noord";"vanNoord";"Jan";""
"NL_vanNunen_J_1850";988;;17878;"jpth-van-nunen";"vanNunen";"J";""
"NL_vanOerle_Niny_1934";2331;;20904;"drs-nw-niny-van-oerle-van-der-horst";"vanOerle-vanderHorst";"Niny";""
